date,Usage_kWh,Lagging_Reactive_Power_kVarh,Leading_Reactive_Power_kVarh,CO2,Lagging_Power_Factor,Leading_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-01-01 00:00:00,3.42,3.46,0.0,0.0,70.3,100.0,0,0,1,0
2018-01-01 00:15:00,3.17,2.95,0.0,0.0,73.21,100.0,900,0,1,0
2018-01-01 00:30:00,4.0,4.46,0.0,0.0,66.77,100.0,1800,0,1,0
2018-01-01 00:45:00,3.24,3.28,0.0,0.0,70.28,100.0,2700,0,1,0
2018-01-01 01:00:00,3.31,3.56,0.0,0.0,68.09,100.0,3600,0,1,0
2018-01-01 01:15:00,3.82,4.5,0.0,0.0,64.72,100.0,4500,0,1,0
2018-01-01 01:30:00,3.28,3.56,0.0,0.0,67.76,100.0,5400,0,1,0
2018-01-01 01:45:00,3.6,4.14,0.0,0.0,65.62,100.0,6300,0,1,0
2018-01-01 02:00:00,3.6,4.28,0.0,0.0,64.37,100.0,7200,0,1,0
2018-01-01 02:15:00,3.28,3.64,0.0,0.0,66.94,100.0,8100,0,1,0
2018-01-01 02:30:00,3.78,4.72,0.0,0.0,62.51,100.0,9000,0,1,0
2018-01-01 02:45:00,3.46,4.03,0.0,0.0,65.14,100.0,9900,0,1,0
2018-01-01 03:00:00,3.24,3.64,0.0,0.0,66.49,100.0,10800,0,1,0
2018-01-01 03:15:00,3.96,4.97,0.0,0.0,62.32,100.0,11700,0,1,0
2018-01-01 03:30:00,3.31,3.74,0.0,0.0,66.27,100.0,12600,0,1,0
2018-01-01 03:45:00,3.31,3.85,0.0,0.0,65.19,100.0,13500,0,1,0
2018-01-01 04:00:00,3.89,5.0,0.0,0.0,61.4,100.0,14400,0,1,0
2018-01-01 04:15:00,3.28,3.82,0.0,0.0,65.14,100.0,15300,0,1,0
2018-01-01 04:30:00,3.56,4.28,0.0,0.0,63.95,100.0,16200,0,1,0
2018-01-01 04:45:00,3.74,4.54,0.0,0.0,63.58,100.0,17100,0,1,0
2018-01-01 05:00:00,3.31,3.6,0.0,0.0,67.68,100.0,18000,0,1,0
2018-01-01 05:15:00,3.56,4.07,0.0,0.0,65.84,100.0,18900,0,1,0
