date,Usage_kWh,Lagging_Reactive_Power_kVarh,Leading_Reactive_Power_kVarh,CO2,Lagging_Power_Factor,Leading_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-11-09 09:00:00,93.92,54.36,0.0,0.04,86.55,100.0,32400,0,5,0
2018-11-09 09:15:00,115.13,61.56,0.0,0.05,88.19,100.0,33300,0,5,2
2018-11-09 09:30:00,106.7,69.62,0.0,0.05,83.75,100.0,34200,0,5,2
2018-11-09 09:45:00,67.93,38.74,0.0,0.03,86.87,100.0,35100,0,5,2
2018-11-09 10:00:00,86.15,42.12,0.0,0.04,89.84,100.0,36000,0,5,2
2018-11-09 10:15:00,125.46,66.17,0.0,0.06,88.45,100.0,36900,0,5,1
2018-11-09 10:30:00,95.15,49.1,0.0,0.04,88.87,100.0,37800,0,5,1
2018-11-09 10:45:00,77.69,44.46,0.0,0.04,86.79,100.0,38700,0,5,1
2018-11-09 11:00:00,107.14,65.74,0.0,0.05,85.23,100.0,39600,0,5,1
2018-11-09 11:15:00,109.58,56.2,0.0,0.05,88.98,100.0,40500,0,5,1
2018-11-09 11:30:00,90.25,49.75,0.0,0.04,87.58,100.0,41400,0,5,1
2018-11-09 11:45:00,122.11,69.88,0.0,0.06,86.79,100.0,42300,0,5,1
2018-11-09 12:00:00,114.84,65.45,0.0,0.05,86.88,100.0,43200,0,5,1
2018-11-09 12:15:00,7.56,0.04,15.66,0.0,100.0,43.47,44100,0,5,2
2018-11-09 12:30:00,7.42,0.0,15.66,0.0,100.0,42.82,45000,0,5,2
2018-11-09 12:45:00,6.84,0.0,16.24,0.0,100.0,38.82,45900,0,5,2
2018-11-09 13:00:00,6.16,0.11,15.7,0.0,99.98,36.52,46800,0,5,2
2018-11-09 13:15:00,55.69,29.16,0.32,0.03,88.59,100.0,47700,0,5,1
2018-11-09 13:30:00,96.84,56.45,0.0,0.04,86.39,100.0,48600,0,5,1
2018-11-09 13:45:00,122.94,69.26,0.0,0.06,87.13,100.0,49500,0,5,1
2018-11-09 14:00:00,125.89,67.93,0.0,0.06,88.01,100.0,50400,0,5,1
2018-11-09 14:15:00,62.78,36.97,0.0,0.03,86.17,100.0,51300,0,5,1
2018-11-09 14:30:00,59.54,36.68,0.0,0.03,85.14,100.0,52200,0,5,1
2018-11-09 14:45:00,64.98,41.58,0.0,0.03,84.23,100.0,53100,0,5,1
2018-11-09 15:00:00,53.64,32.69,0.0,0.02,85.39,100.0,54000,0,5,1
2018-11-09 15:15:00,62.57,35.75,0.0,0.03,86.83,100.0,54900,0,5,1
2018-11-09 15:30:00,58.07,37.51,0.0,0.03,84.0,100.0,55800,0,5,1
2018-11-09 15:45:00,70.16,38.05,0.0,0.03,87.9,100.0,56700,0,5,1
2018-11-09 16:00:00,106.67,59.15,0.0,0.05,87.45,100.0,57600,0,5,1
2018-11-09 16:15:00,73.44,44.24,0.0,0.03,85.66,100.0,58500,0,5,1
2018-11-09 16:30:00,115.34,62.1,0.0,0.05,88.05,100.0,59400,0,5,1
2018-11-09 16:45:00,99.11,51.84,0.0,0.05,88.61,100.0,60300,0,5,1
2018-11-09 17:00:00,122.76,68.98,0.0,0.06,87.18,100.0,61200,0,5,1
2018-11-09 17:15:00,118.84,62.96,0.0,0.05,88.37,100.0,62100,0,5,2
2018-11-09 17:30:00,75.82,43.56,0.0,0.03,86.71,100.0,63000,0,5,2
2018-11-09 17:45:00,62.42,22.25,0.18,0.03,94.19,100.0,63900,0,5,2
2018-11-09 18:00:00,28.37,6.91,0.47,0.01,97.16,99.99,64800,0,5,2
2018-11-09 18:15:00,35.21,24.3,0.0,0.02,82.3,100.0,65700,0,5,2
2018-11-09 18:30:00,38.16,23.33,0.0,0.02,85.32,100.0,66600,0,5,2
2018-11-09 18:45:00,33.62,12.46,0.0,0.02,93.77,100.0,67500,0,5,2
2018-11-09 19:00:00,34.81,13.86,0.0,0.02,92.91,100.0,68400,0,5,2
2018-11-09 19:15:00,37.26,14.83,0.0,0.02,92.91,100.0,69300,0,5,2
2018-11-09 19:30:00,37.76,15.23,0.0,0.02,92.74,100.0,70200,0,5,2
2018-11-09 19:45:00,37.58,15.08,0.0,0.02,92.81,100.0,71100,0,5,2
